(+)-camphor biosynthetic process	GO:0046211	(+)-camphor catabolic process	GO:0019383
negative regulation of natural killer cell differentiation involved in immune response	GO:0032827	positive regulation of natural killer cell differentiation involved in immune response	GO:0032828
negative regulation of natural killer cell differentiation	GO:0032824	positive regulation of natural killer cell differentiation	GO:0032825
negative regulation of natural killer cell mediated cytotoxicity directed against tumor cell target	GO:0002859	positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target	GO:0002860
negative regulation of natural killer cell mediated cytotoxicity	GO:0045953	positive regulation of natural killer cell mediated cytotoxicity	GO:0045954
negative regulation of natural killer cell mediated immune response to tumor cell	GO:0002856	positive regulation of natural killer cell mediated immune response to tumor cell	GO:0002857
negative regulation of natural killer cell mediated immunity	GO:0002716	positive regulation of natural killer cell mediated immunity	GO:0002717
negative regulation of natural killer cell proliferation involved in immune response	GO:0032821	positive regulation of natural killer cell proliferation involved in immune response	GO:0032822
negative regulation of natural killer cell proliferation	GO:0032818	positive regulation of natural killer cell proliferation	GO:0032819
negative regulation of natural killer cell tolerance induction	GO:0002872	positive regulation of natural killer cell tolerance induction	GO:0002873
negative regulation of necroptotic process	GO:0060546	positive regulation of necroptotic process	GO:0060545
negative regulation of necrotic cell death	GO:0060547	positive regulation of necrotic cell death	GO:0010940
negative regulation of negative chemotaxis	GO:0050925	negative regulation of positive chemotaxis	GO:0050928
negative regulation of negative chemotaxis	GO:0050925	positive regulation of negative chemotaxis	GO:0050924
negative regulation of nematode larval development, heterochronic	GO:0090446	positive regulation of nematode larval development, heterochronic	GO:0090445
negative regulation of nematode larval development	GO:0061064	positive regulation of nematode larval development	GO:0061063
negative regulation of nematode male tail tip morphogenesis	GO:0110038	positive regulation of nematode male tail tip morphogenesis	GO:0110039
negative regulation of neosartoricin biosynthetic process	GO:1902054	positive regulation of neosartoricin biosynthetic process	GO:1902055
negative regulation of nephron tubule epithelial cell differentiation	GO:0072183	positive regulation of nephron tubule epithelial cell differentiation	GO:2000768
negative regulation of nerve growth factor receptor activity	GO:0051395	positive regulation of nerve growth factor receptor activity	GO:0051396
negative regulation of nervous system development	GO:0051961	positive regulation of nervous system development	GO:0051962
negative regulation of nervous system process	GO:0031645	positive regulation of nervous system process	GO:0031646
negative regulation of netrin-activated signaling pathway	GO:1902842	positive regulation of netrin-activated signaling pathway	GO:1902843
negative regulation of neural crest cell differentiation	GO:1905293	positive regulation of neural crest cell differentiation	GO:1905294
negative regulation of neural crest cell fate specification	GO:1905296	positive regulation of neural crest cell fate specification	GO:1905297
negative regulation of neural crest formation	GO:0090301	positive regulation of neural crest formation	GO:0090300
negative regulation of neural precursor cell proliferation	GO:2000178	positive regulation of neural precursor cell proliferation	GO:2000179
negative regulation of neural retina development	GO:0061076	positive regulation of neural retina development	GO:0061075
negative regulation of neuroblast migration	GO:0061855	positive regulation of neuroblast migration	GO:0061854
negative regulation of neuroblast proliferation	GO:0007406	positive regulation of neuroblast proliferation	GO:0002052
negative regulation of neurofibrillary tangle assembly	GO:1902997	positive regulation of neurofibrillary tangle assembly	GO:1902998
negative regulation of neurogenesis	GO:0050768	positive regulation of neurogenesis	GO:0050769
negative regulation of neuroinflammatory response	GO:0150079	positive regulation of neuroinflammatory response	GO:0150078
negative regulation of neuromuscular junction development	GO:1904397	positive regulation of neuromuscular junction development	GO:1904398
negative regulation of neuromuscular synaptic transmission	GO:1900074	positive regulation of neuromuscular synaptic transmission	GO:1900075
negative regulation of neuron apoptotic process	GO:0043524	positive regulation of neuron apoptotic process	GO:0043525
negative regulation of neuron death	GO:1901215	positive regulation of neuron death	GO:1901216
negative regulation of neuron differentiation	GO:0045665	positive regulation of neuron differentiation	GO:0045666
negative regulation of neuron maturation	GO:0014043	positive regulation of neuron maturation	GO:0014042
negative regulation of neuron migration	GO:2001223	positive regulation of neuron migration	GO:2001224
negative regulation of neuron projection arborization	GO:0150013	positive regulation of neuron projection arborization	GO:0150012
negative regulation of neuron projection development	GO:0010977	positive regulation of neuron projection development	GO:0010976
negative regulation of neuron projection regeneration	GO:0070571	positive regulation of neuron projection regeneration	GO:0070572
negative regulation of neuron remodeling	GO:1904800	positive regulation of neuron remodeling	GO:1904801
negative regulation of neuronal action potential	GO:1904456	positive regulation of neuronal action potential	GO:1904457
negative regulation of neuronal signal transduction	GO:1902848	positive regulation of neuronal signal transduction	GO:1902849
negative regulation of neurotransmitter secretion	GO:0046929	positive regulation of neurotransmitter secretion	GO:0001956
negative regulation of neurotransmitter transport	GO:0051589	positive regulation of neurotransmitter transport	GO:0051590
negative regulation of neurotransmitter uptake	GO:0051581	positive regulation of neurotransmitter uptake	GO:0051582
negative regulation of neurotrophin production	GO:0032900	positive regulation of neurotrophin production	GO:0032901
negative regulation of neurotrophin trk receptor signaling pathway	GO:0051387	positive regulation of neurotrophin trk receptor signaling pathway	GO:0051388
negative regulation of neutrophil activation	GO:1902564	positive regulation of neutrophil activation	GO:1902565
negative regulation of neutrophil aggregation	GO:2000429	positive regulation of neutrophil aggregation	GO:2000430
negative regulation of neutrophil apoptotic process	GO:0033030	positive regulation of neutrophil apoptotic process	GO:0033031
negative regulation of neutrophil chemotaxis	GO:0090024	positive regulation of neutrophil chemotaxis	GO:0090023
negative regulation of neutrophil degranulation	GO:0043314	positive regulation of neutrophil degranulation	GO:0043315
negative regulation of neutrophil differentiation	GO:0045659	positive regulation of neutrophil differentiation	GO:0045660
negative regulation of neutrophil extravasation	GO:2000390	positive regulation of neutrophil extravasation	GO:2000391
negative regulation of neutrophil mediated cytotoxicity	GO:0070954	positive regulation of neutrophil mediated cytotoxicity	GO:0070960
negative regulation of neutrophil mediated killing of bacterium	GO:0070956	positive regulation of neutrophil mediated killing of bacterium	GO:0070962
negative regulation of neutrophil mediated killing of fungus	GO:0070959	positive regulation of neutrophil mediated killing of fungus	GO:0070965
negative regulation of neutrophil mediated killing of gram-negative bacterium	GO:0070957	negative regulation of neutrophil mediated killing of gram-positive bacterium	GO:0070958
negative regulation of neutrophil mediated killing of gram-negative bacterium	GO:0070957	positive regulation of neutrophil mediated killing of gram-negative bacterium	GO:0070963
negative regulation of neutrophil mediated killing of gram-positive bacterium	GO:0070958	positive regulation of neutrophil mediated killing of gram-positive bacterium	GO:0070964
negative regulation of neutrophil mediated killing of symbiont cell	GO:0070955	positive regulation of neutrophil mediated killing of symbiont cell	GO:0070961
negative regulation of neutrophil migration	GO:1902623	positive regulation of neutrophil migration	GO:1902624
negative regulation of nf-kappab transcription factor activity	GO:0032088	positive regulation of nf-kappab transcription factor activity	GO:0051092
negative regulation of nigerotriose transport	GO:1900358	positive regulation of nigerotriose transport	GO:1900359
negative regulation of nik/nf-kappab signaling	GO:1901223	positive regulation of nik/nf-kappab signaling	GO:1901224
negative regulation of nitric oxide biosynthetic process	GO:0045019	positive regulation of nitric oxide biosynthetic process	GO:0045429
negative regulation of nitric oxide mediated signal transduction	GO:0010751	positive regulation of nitric oxide mediated signal transduction	GO:0010750
negative regulation of nitric oxide metabolic process	GO:1904406	positive regulation of nitric oxide metabolic process	GO:1904407
negative regulation of nitric-oxide synthase activity	GO:0051001	positive regulation of nitric-oxide synthase activity	GO:0051000
negative regulation of nitric-oxide synthase biosynthetic process	GO:0051771	positive regulation of nitric-oxide synthase biosynthetic process	GO:0051770
negative regulation of nitrogen compound metabolic process	GO:0051172	positive regulation of nitrogen compound metabolic process	GO:0051173
negative regulation of nitrogen cycle metabolic process	GO:1903315	positive regulation of nitrogen cycle metabolic process	GO:1903316
negative regulation of nitrogen utilization	GO:0045847	positive regulation of nitrogen utilization	GO:0045848
negative regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway	GO:1905259	positive regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway	GO:1905260
negative regulation of nk t cell activation	GO:0051134	positive regulation of nk t cell activation	GO:0051135
negative regulation of nk t cell differentiation	GO:0051137	positive regulation of nk t cell differentiation	GO:0051138
negative regulation of nk t cell proliferation	GO:0051141	positive regulation of nk t cell proliferation	GO:0051142
negative regulation of nlrp3 inflammasome complex assembly	GO:1900226	positive regulation of nlrp3 inflammasome complex assembly	GO:1900227
negative regulation of nmda glutamate receptor activity	GO:1904782	positive regulation of nmda glutamate receptor activity	GO:1904783
negative regulation of nms complex assembly	GO:1901720	positive regulation of nms complex assembly	GO:1901721
negative regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry	GO:1900176	positive regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry	GO:1900224
negative regulation of non-canonical wnt signaling pathway via jnk cascade	GO:1901230	positive regulation of non-canonical wnt signaling pathway via jnk cascade	GO:1901231
negative regulation of non-canonical wnt signaling pathway	GO:2000051	positive regulation of non-canonical wnt signaling pathway	GO:2000052
negative regulation of non-membrane spanning protein tyrosine kinase activity	GO:1903996	positive regulation of non-membrane spanning protein tyrosine kinase activity	GO:1903997
negative regulation of non-motile cilium assembly	GO:1902856	positive regulation of non-motile cilium assembly	GO:1902857
negative regulation of non-professional antigen presenting cell antigen processing and presentation	GO:0002620	positive regulation of non-professional antigen presenting cell antigen processing and presentation	GO:0002621
negative regulation of nonadec-1-ene biosynthetic process	GO:1900936	positive regulation of nonadec-1-ene biosynthetic process	GO:1900937
negative regulation of nonadec-1-ene metabolic process	GO:1900933	positive regulation of nonadec-1-ene metabolic process	GO:1900934
negative regulation of norepinephrine secretion	GO:0010700	positive regulation of norepinephrine secretion	GO:0010701
negative regulation of norepinephrine uptake	GO:0051622	positive regulation of norepinephrine uptake	GO:0051623
negative regulation of notch signaling pathway	GO:0045746	positive regulation of notch signaling pathway	GO:0045747
negative regulation of nuclear cell cycle dna replication	GO:1902576	positive regulation of nuclear cell cycle dna replication	GO:0010571
negative regulation of nuclear division	GO:0051784	positive regulation of nuclear division	GO:0051785
negative regulation of nuclear migration along microtubule	GO:1902839	positive regulation of nuclear migration along microtubule	GO:1902840
negative regulation of nuclear migration during mitotic telophase	GO:1902853	positive regulation of nuclear migration during mitotic telophase	GO:1902854
negative regulation of nuclear-transcribed mrna catabolic process, deadenylation-dependent decay	GO:1900152	positive regulation of nuclear-transcribed mrna catabolic process, deadenylation-dependent decay	GO:1900153
negative regulation of nuclear-transcribed mrna catabolic process, meiosis-specific transcripts	GO:0120271	positive regulation of nuclear-transcribed mrna catabolic process, meiosis-specific transcripts	GO:0120272
negative regulation of nuclear-transcribed mrna catabolic process, nonsense-mediated decay	GO:2000623	positive regulation of nuclear-transcribed mrna catabolic process, nonsense-mediated decay	GO:2000624
negative regulation of nuclear-transcribed mrna poly(a) tail shortening	GO:0060212	positive regulation of nuclear-transcribed mrna poly(a) tail shortening	GO:0060213
negative regulation of nuclease activity	GO:0032074	positive regulation of nuclease activity	GO:0032075
negative regulation of nucleic acid-templated transcription	GO:1903507	positive regulation of nucleic acid-templated transcription	GO:1903508
negative regulation of nucleobase-containing compound metabolic process	GO:0045934	positive regulation of nucleobase-containing compound metabolic process	GO:0045935
negative regulation of nucleobase-containing compound transport	GO:0032240	positive regulation of nucleobase-containing compound transport	GO:0032241
negative regulation of nucleocytoplasmic transport	GO:0046823	positive regulation of nucleocytoplasmic transport	GO:0046824
negative regulation of nucleoside metabolic process	GO:0045978	positive regulation of nucleoside metabolic process	GO:0045979
negative regulation of nucleoside transport	GO:0032243	positive regulation of nucleoside transport	GO:0032244
negative regulation of nucleotide biosynthetic process	GO:0030809	positive regulation of nucleotide biosynthetic process	GO:0030810
negative regulation of nucleotide catabolic process	GO:0030812	positive regulation of nucleotide catabolic process	GO:0030813
negative regulation of nucleotide metabolic process	GO:0045980	positive regulation of nucleotide metabolic process	GO:0045981
negative regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway	GO:0070429	positive regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway	GO:0070430
negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	GO:0070433	positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	GO:0070434
negative regulation of nucleotide-binding oligomerization domain containing signaling pathway	GO:0070425	positive regulation of nucleotide-binding oligomerization domain containing signaling pathway	GO:0070426
negative regulation of nurse cell apoptotic process	GO:0045849	positive regulation of nurse cell apoptotic process	GO:0045850
negative regulation of o-orsellinic acid biosynthetic process	GO:1900699	positive regulation of o-orsellinic acid biosynthetic process	GO:1900700
negative regulation of octadecene biosynthetic process	GO:1900915	positive regulation of octadecene biosynthetic process	GO:1900916
negative regulation of octadecene metabolic process	GO:1900918	positive regulation of octadecene metabolic process	GO:1900919
negative regulation of octopamine or tyramine signaling pathway	GO:2000126	positive regulation of octopamine or tyramine signaling pathway	GO:2000127
negative regulation of octopamine signaling pathway involved in response to food	GO:2000140	positive regulation of octopamine signaling pathway involved in response to food	GO:2000141
negative regulation of octopamine signaling pathway	GO:2000129	positive regulation of octopamine signaling pathway	GO:2000130
negative regulation of odontoblast differentiation	GO:1901330	positive regulation of odontoblast differentiation	GO:1901331
negative regulation of odontogenesis of dentin-containing tooth	GO:0042489	positive regulation of odontogenesis of dentin-containing tooth	GO:0042488
negative regulation of odontogenesis	GO:0042483	positive regulation of odontogenesis	GO:0042482
negative regulation of olefin biosynthetic process	GO:1900912	positive regulation of olefin biosynthetic process	GO:1900913
negative regulation of olefin metabolic process	GO:1900909	positive regulation of olefin metabolic process	GO:1900910
negative regulation of oligodendrocyte apoptotic process	GO:1900142	positive regulation of oligodendrocyte apoptotic process	GO:1900143
negative regulation of oligodendrocyte differentiation	GO:0048715	positive regulation of oligodendrocyte differentiation	GO:0048714
negative regulation of oligodendrocyte progenitor proliferation	GO:0070446	positive regulation of oligodendrocyte progenitor proliferation	GO:0070447
negative regulation of oligopeptide transport	GO:2000877	positive regulation of oligopeptide transport	GO:2000878
negative regulation of oocyte development	GO:0060283	positive regulation of oocyte development	GO:0060282
negative regulation of oocyte karyosome formation	GO:0120314	positive regulation of oocyte karyosome formation	GO:0120315
negative regulation of oocyte maturation	GO:1900194	positive regulation of oocyte maturation	GO:1900195
negative regulation of oogenesis	GO:1905880	positive regulation of oogenesis	GO:1905881
negative regulation of oogonium development	GO:0075266	positive regulation of oogonium development	GO:0075265
negative regulation of oomycete sporangium development	GO:0075324	positive regulation of oomycete sporangium development	GO:0075323
negative regulation of oospore formation	GO:0075246	positive regulation of oospore formation	GO:0075245
negative regulation of opioid receptor signaling pathway	GO:2000475	positive regulation of opioid receptor signaling pathway	GO:2000476
negative regulation of optic nerve formation	GO:2000596	positive regulation of optic nerve formation	GO:2000597
negative regulation of optical nerve axon regeneration	GO:1905592	positive regulation of optical nerve axon regeneration	GO:1905593
negative regulation of orcinol biosynthetic process	GO:1900702	positive regulation of orcinol biosynthetic process	GO:1900703
negative regulation of organ growth	GO:0046621	positive regulation of organ growth	GO:0046622
negative regulation of organelle assembly	GO:1902116	positive regulation of organelle assembly	GO:1902117
negative regulation of organelle organization	GO:0010639	positive regulation of organelle organization	GO:0010638
negative regulation of organic acid transport	GO:0032891	positive regulation of organic acid transport	GO:0032892
negative regulation of ornithine catabolic process	GO:1903267	positive regulation of ornithine catabolic process	GO:1903268
negative regulation of oskar mrna translation	GO:0007319	positive regulation of oskar mrna translation	GO:0046012
negative regulation of osmolarity-sensing cation channel activity	GO:1904296	positive regulation of osmolarity-sensing cation channel activity	GO:1904297
negative regulation of ossification	GO:0030279	positive regulation of ossification	GO:0045778
negative regulation of osteoblast differentiation	GO:0045668	positive regulation of osteoblast differentiation	GO:0045669
negative regulation of osteoblast proliferation	GO:0033689	positive regulation of osteoblast proliferation	GO:0033690
negative regulation of osteoclast development	GO:2001205	positive regulation of osteoclast development	GO:2001206
negative regulation of osteoclast differentiation	GO:0045671	positive regulation of osteoclast differentiation	GO:0045672
negative regulation of osteoclast proliferation	GO:0090291	positive regulation of osteoclast proliferation	GO:0090290
negative regulation of otic vesicle morphogenesis	GO:1904119	positive regulation of otic vesicle morphogenesis	GO:1904120
negative regulation of outer hair cell apoptotic process	GO:1905586	positive regulation of outer hair cell apoptotic process	GO:1905587
negative regulation of ovarian follicle development	GO:2000355	positive regulation of ovarian follicle development	GO:2000386
negative regulation of oviposition	GO:1901045	positive regulation of oviposition	GO:1901046
negative regulation of ovulation	GO:0060280	positive regulation of ovulation	GO:0060279
negative regulation of oxidative phosphorylation uncoupler activity	GO:2000276	positive regulation of oxidative phosphorylation uncoupler activity	GO:2000277
negative regulation of oxidative phosphorylation	GO:0090324	positive regulation of oxidative phosphorylation	GO:1903862
negative regulation of oxidative stress-induced cell death	GO:1903202	positive regulation of oxidative stress-induced cell death	GO:1903209
negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	GO:1902176	positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	GO:1902177
negative regulation of oxidative stress-induced neuron death	GO:1903204	positive regulation of oxidative stress-induced neuron death	GO:1903223
negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	GO:1903377	positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	GO:1903378
negative regulation of oxidoreductase activity	GO:0051354	positive regulation of oxidoreductase activity	GO:0051353
negative regulation of oxygen metabolic process	GO:2000375	positive regulation of oxygen metabolic process	GO:2000376
negative regulation of oxytocin production	GO:0140669	positive regulation of oxytocin production	GO:0140668
negative regulation of p-type sodium:potassium-exchanging transporter activity	GO:1903407	positive regulation of p-type sodium:potassium-exchanging transporter activity	GO:1903408
negative regulation of p38mapk cascade	GO:1903753	positive regulation of p38mapk cascade	GO:1900745
negative regulation of pancreatic a cell differentiation	GO:2000227	positive regulation of pancreatic a cell differentiation	GO:2000228
negative regulation of pancreatic amylase secretion	GO:1902277	positive regulation of pancreatic amylase secretion	GO:1902278
negative regulation of pancreatic juice secretion	GO:0090188	positive regulation of pancreatic juice secretion	GO:0090187
negative regulation of pancreatic stellate cell proliferation	GO:2000230	positive regulation of pancreatic stellate cell proliferation	GO:2000231
negative regulation of pancreatic trypsinogen secretion	GO:1904243	positive regulation of pancreatic trypsinogen secretion	GO:1904244
negative regulation of parathyroid hormone secretion	GO:2000829	positive regulation of parathyroid hormone secretion	GO:2000830
negative regulation of paraxial mesodermal cell fate determination	GO:0048347	positive regulation of paraxial mesodermal cell fate determination	GO:0048346
negative regulation of paraxial mesodermal cell fate specification	GO:0048351	positive regulation of paraxial mesodermal cell fate specification	GO:0048350
negative regulation of pathway-restricted smad protein phosphorylation	GO:0060394	positive regulation of pathway-restricted smad protein phosphorylation	GO:0010862
negative regulation of pectin catabolic process	GO:2001004	positive regulation of pectin catabolic process	GO:2001005
negative regulation of penicillin biosynthetic process	GO:1900197	positive regulation of penicillin biosynthetic process	GO:1900198
negative regulation of penicillin catabolic process	GO:0033248	positive regulation of penicillin catabolic process	GO:0033249
negative regulation of penicillin metabolic process	GO:0033245	positive regulation of penicillin metabolic process	GO:0033246
negative regulation of penile erection	GO:0060407	positive regulation of penile erection	GO:0060406
negative regulation of pentadecane biosynthetic process	GO:1900888	positive regulation of pentadecane biosynthetic process	GO:1900889
negative regulation of pentadecane metabolic process	GO:1900891	positive regulation of pentadecane metabolic process	GO:1900892
negative regulation of pentasaccharide transport	GO:1900361	positive regulation of pentasaccharide transport	GO:1900362
negative regulation of pentose catabolic process to ethanol	GO:1900510	positive regulation of pentose catabolic process to ethanol	GO:1900511
negative regulation of pentose-phosphate shunt	GO:1905856	positive regulation of pentose-phosphate shunt	GO:1905857
negative regulation of peptidase activity	GO:0010466	positive regulation of peptidase activity	GO:0010952
negative regulation of peptide antigen transport	GO:1901040	positive regulation of peptide antigen transport	GO:1901041
negative regulation of peptide hormone processing	GO:0060570	positive regulation of peptide hormone processing	GO:0060569
negative regulation of peptide hormone secretion	GO:0090278	positive regulation of peptide hormone secretion	GO:0090277
negative regulation of peptide secretion	GO:0002792	positive regulation of peptide secretion	GO:0002793
negative regulation of peptidoglycan recognition protein signaling pathway	GO:0061060	positive regulation of peptidoglycan recognition protein signaling pathway	GO:0061059
negative regulation of peptidyl-cysteine s-nitrosylation	GO:1902083	positive regulation of peptidyl-cysteine s-nitrosylation	GO:2000170
negative regulation of peptidyl-l-cysteine s-palmitoylation	GO:1902663	positive regulation of peptidyl-l-cysteine s-palmitoylation	GO:1902664
negative regulation of peptidyl-lysine acetylation	GO:2000757	positive regulation of peptidyl-lysine acetylation	GO:2000758
negative regulation of peptidyl-serine dephosphorylation	GO:1902309	positive regulation of peptidyl-serine dephosphorylation	GO:1902310
negative regulation of peptidyl-serine phosphorylation of stat protein	GO:0033140	positive regulation of peptidyl-serine phosphorylation of stat protein	GO:0033141
negative regulation of peptidyl-serine phosphorylation	GO:0033137	positive regulation of peptidyl-serine phosphorylation	GO:0033138
negative regulation of peptidyl-threonine phosphorylation	GO:0010801	positive regulation of peptidyl-threonine phosphorylation	GO:0010800
negative regulation of peptidyl-tyrosine autophosphorylation	GO:1900085	positive regulation of peptidyl-tyrosine autophosphorylation	GO:1900086
negative regulation of peptidyl-tyrosine phosphorylation	GO:0050732	positive regulation of peptidyl-tyrosine phosphorylation	GO:0050731
negative regulation of peripheral b cell anergy	GO:0002918	positive regulation of peripheral b cell anergy	GO:0002919
negative regulation of peripheral b cell deletion	GO:0002909	positive regulation of peripheral b cell deletion	GO:0002910
negative regulation of peripheral t cell tolerance induction	GO:0002850	positive regulation of peripheral t cell tolerance induction	GO:0002851
negative regulation of peripheral tolerance induction	GO:0002659	positive regulation of peripheral tolerance induction	GO:0002660
negative regulation of perk-mediated unfolded protein response	GO:1903898	positive regulation of perk-mediated unfolded protein response	GO:1903899
negative regulation of peroxidase activity	GO:2000469	positive regulation of peroxidase activity	GO:2000470
negative regulation of peroxisome proliferator activated receptor signaling pathway	GO:0035359	positive regulation of peroxisome proliferator activated receptor signaling pathway	GO:0035360
negative regulation of phagocytosis, engulfment	GO:0060101	positive regulation of phagocytosis, engulfment	GO:0060100
negative regulation of phagocytosis	GO:0050765	positive regulation of phagocytosis	GO:0050766
negative regulation of phagosome maturation	GO:1905163	positive regulation of phagosome maturation	GO:1905164
negative regulation of pharyngeal pumping	GO:1903745	positive regulation of pharyngeal pumping	GO:1903746
negative regulation of pharynx morphogenesis	GO:0110042	positive regulation of pharynx morphogenesis	GO:0110043
negative regulation of phenazine biosynthetic process	GO:1900981	positive regulation of phenazine biosynthetic process	GO:1900982
negative regulation of phenotypic switching	GO:1900240	positive regulation of phenotypic switching	GO:1900241
negative regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion	GO:0090029	positive regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion	GO:0090028
negative regulation of phialide development	GO:0070806	positive regulation of phialide development	GO:0070807
negative regulation of phosphatase activity	GO:0010923	positive regulation of phosphatase activity	GO:0010922
negative regulation of phosphate metabolic process	GO:0045936	positive regulation of phosphate metabolic process	GO:0045937
negative regulation of phosphate transmembrane transport	GO:2000186	positive regulation of phosphate transmembrane transport	GO:2000187
negative regulation of phosphatidate phosphatase activity	GO:1903741	positive regulation of phosphatidate phosphatase activity	GO:1903740
negative regulation of phosphatidic acid biosynthetic process	GO:1905694	positive regulation of phosphatidic acid biosynthetic process	GO:1905695
negative regulation of phosphatidylcholine biosynthetic process	GO:2001246	positive regulation of phosphatidylcholine biosynthetic process	GO:2001247
negative regulation of phosphatidylcholine metabolic process	GO:0150174	positive regulation of phosphatidylcholine metabolic process	GO:0150173
negative regulation of phosphatidylethanolamine metabolic process	GO:0150177	positive regulation of phosphatidylethanolamine metabolic process	GO:0150176
negative regulation of phosphatidylglycerol biosynthetic process	GO:1901352	positive regulation of phosphatidylglycerol biosynthetic process	GO:1901353
negative regulation of phosphatidylinositol 3-kinase activity	GO:0043553	positive regulation of phosphatidylinositol 3-kinase activity	GO:0043552
negative regulation of phosphatidylinositol 3-kinase signaling	GO:0014067	positive regulation of phosphatidylinositol 3-kinase signaling	GO:0014068
negative regulation of phosphatidylinositol biosynthetic process	GO:0010512	positive regulation of phosphatidylinositol biosynthetic process	GO:0010513
negative regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity	GO:2001145	positive regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity	GO:2001146
negative regulation of phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	GO:0120140	positive regulation of phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	GO:0120139
negative regulation of phosphatidylserine biosynthetic process	GO:1900469	positive regulation of phosphatidylserine biosynthetic process	GO:1900470
negative regulation of phosphatidylserine exposure on apoptotic cell surface	GO:1905781	positive regulation of phosphatidylserine exposure on apoptotic cell surface	GO:1905782
negative regulation of phosphatidylserine metabolic process	GO:0150180	positive regulation of phosphatidylserine metabolic process	GO:0150179
negative regulation of phospholipase a2 activity	GO:1900138	positive regulation of phospholipase a2 activity	GO:0032430
negative regulation of phospholipase activity	GO:0010519	positive regulation of phospholipase activity	GO:0010518
negative regulation of phospholipase c activity	GO:1900275	positive regulation of phospholipase c activity	GO:0010863
negative regulation of phospholipase c-activating g protein-coupled receptor signaling pathway	GO:1900737	positive regulation of phospholipase c-activating g protein-coupled receptor signaling pathway	GO:1900738
negative regulation of phospholipase d activity	GO:1904006	positive regulation of phospholipase d activity	GO:1904007
negative regulation of phospholipid biosynthetic process	GO:0071072	positive regulation of phospholipid biosynthetic process	GO:0071073
negative regulation of phospholipid efflux	GO:1902999	positive regulation of phospholipid efflux	GO:1902995
negative regulation of phospholipid metabolic process	GO:1903726	positive regulation of phospholipid metabolic process	GO:1903727
negative regulation of phospholipid scramblase activity	GO:1900162	positive regulation of phospholipid scramblase activity	GO:1900163
negative regulation of phospholipid translocation	GO:0061093	positive regulation of phospholipid translocation	GO:0061092
negative regulation of phospholipid transport	GO:2001139	positive regulation of phospholipid transport	GO:2001140
negative regulation of phosphoprotein phosphatase activity	GO:0032515	positive regulation of phosphoprotein phosphatase activity	GO:0032516
negative regulation of phosphorelay signal transduction system	GO:0070298	positive regulation of phosphorelay signal transduction system	GO:0070299
negative regulation of phosphorus metabolic process	GO:0010563	positive regulation of phosphorus metabolic process	GO:0010562
negative regulation of phosphorus utilization	GO:0045942	positive regulation of phosphorus utilization	GO:0045949
negative regulation of phosphorylation of rna polymerase ii c-terminal domain serine 2 residues	GO:2001164	positive regulation of phosphorylation of rna polymerase ii c-terminal domain serine 2 residues	GO:2001165
negative regulation of phosphorylation of rna polymerase ii c-terminal domain	GO:1901408	positive regulation of phosphorylation of rna polymerase ii c-terminal domain	GO:1901409
negative regulation of phosphorylation	GO:0042326	positive regulation of phosphorylation	GO:0042327
negative regulation of photomorphogenesis	GO:0010100	positive regulation of photomorphogenesis	GO:2000306
negative regulation of photoreceptor cell differentiation	GO:0046533	positive regulation of photoreceptor cell differentiation	GO:0046534
negative regulation of photosynthesis	GO:1905156	positive regulation of photosynthesis	GO:1905157
negative regulation of phytoalexin biosynthetic process	GO:0052323	positive regulation of phytoalexin biosynthetic process	GO:0052322
negative regulation of phytoalexin metabolic process	GO:0052321	positive regulation of phytoalexin metabolic process	GO:0052320
negative regulation of pigment cell differentiation	GO:0050941	positive regulation of pigment cell differentiation	GO:0050942
negative regulation of pinocytosis	GO:0048550	positive regulation of pinocytosis	GO:0048549
negative regulation of placenta blood vessel development	GO:0110081	positive regulation of placenta blood vessel development	GO:0110080
negative regulation of plant epidermal cell differentiation	GO:1903889	positive regulation of plant epidermal cell differentiation	GO:1903890
negative regulation of plant organ morphogenesis	GO:1905422	positive regulation of plant organ morphogenesis	GO:1905423
negative regulation of plant-type cell wall cellulose biosynthetic process	GO:2001010	positive regulation of plant-type cell wall cellulose biosynthetic process	GO:2001011
negative regulation of plant-type cell wall cellulose catabolic process	GO:2000940	positive regulation of plant-type cell wall cellulose catabolic process	GO:2000941
